Crypto Name,Price,TimeStamp
Bitcoin ,"118,293.07",2025-08-17 16:41:55.424083
Bitcoin ,"118,252.41",2025-08-17 16:42:06.578927
Bitcoin ,"118,252.41",2025-08-17 16:42:17.919080
Bitcoin ,"118,252.41",2025-08-17 16:42:29.286756
